date,state,district,pincode,enrolment_count,update_count,age_0_18,age_19_40,age_41_60,age_60_plus,source_file
2023-01-01,Maharashtra,MaharashtraDistrict,949260,14016,2772,3864,6388,2976,788,sample_data.csv
2023-01-01,Uttar Pradesh,Uttar PradeshDistrict,773664,13581,2641,2847,6363,2922,1449,sample_data.csv
2023-01-01,Karnataka,KarnatakaDistrict,556925,5592,648,1489,2398,1326,379,sample_data.csv
2023-01-01,Tamil Nadu,Tamil NaduDistrict,736171,10246,1777,2204,4986,2535,521,sample_data.csv
2023-01-01,Delhi,DelhiDistrict,508304,14840,2110,4363,6278,2989,1210,sample_data.csv
2023-01-01,West Bengal,West BengalDistrict,670708,4416,527,970,1824,1080,542,sample_data.csv
2023-01-01,Rajasthan,RajasthanDistrict,555148,10800,1940,2775,4509,2207,1309,sample_data.csv
2023-01-01,Gujarat,GujaratDistrict,698761,10877,1272,2933,4617,2331,996,sample_data.csv
2023-01-01,Madhya Pradesh,Madhya PradeshDistrict,759771,13400,1657,3867,6050,2924,559,sample_data.csv
2023-01-01,Bihar,BiharDistrict,556725,4018,599,1053,1608,847,510,sample_data.csv
2023-01-01,Andhra Pradesh,Andhra PradeshDistrict,826240,5686,1024,1355,2507,1254,570,sample_data.csv
2023-01-01,Telangana,TelanganaDistrict,926324,5187,529,1082,2576,1282,247,sample_data.csv
2023-01-01,Kerala,KeralaDistrict,418733,7078,1399,1573,3024,1695,786,sample_data.csv
2023-01-01,Odisha,OdishaDistrict,903350,11733,2151,2954,5094,2893,792,sample_data.csv
2023-01-01,Assam,AssamDistrict,439333,12431,2009,2695,5659,3001,1076,sample_data.csv
2023-01-01,Punjab,PunjabDistrict,350634,9958,1593,2380,4935,2415,228,sample_data.csv
2023-01-01,Chhattisgarh,ChhattisgarhDistrict,759490,13975,2723,2873,6811,3431,860,sample_data.csv
2023-01-01,Haryana,HaryanaDistrict,195652,9232,1023,2591,4557,2036,48,sample_data.csv
