date,state,district,enrolment_count,update_count,Age_Group_0_18,Age_Group_19_40,Age_Group_41_60,Age_Group_60_Plus,year,month,day_of_week,is_weekend,year_month
2023-01-01,Maharashtra,Maharashtra_District,5980,1125,1495,2691,1315,478,2023,1,6,1,2023-01
2023-01-01,Uttar Pradesh,Uttar_District,9163,1995,2290,4123,2015,733,2023,1,6,1,2023-01
2023-01-01,Karnataka,Karnataka_District,4951,1360,1237,2227,1089,396,2023,1,6,1,2023-01
2023-01-01,Tamil Nadu,Tamil_District,5954,638,1488,2679,1309,476,2023,1,6,1,2023-01
2023-01-01,Delhi,Delhi_District,3415,536,853,1536,751,273,2023,1,6,1,2023-01
2023-01-01,West Bengal,West_District,3789,752,947,1705,833,303,2023,1,6,1,2023-01
2023-01-02,Maharashtra,Maharashtra_District,10261,1959,2565,4617,2257,820,2023,1,0,0,2023-01
2023-01-02,Uttar Pradesh,Uttar_District,15251,4020,3812,6862,3355,1220,2023,1,0,0,2023-01
2023-01-02,Karnataka,Karnataka_District,7490,2039,1872,3370,1647,599,2023,1,0,0,2023-01
2023-01-02,Tamil Nadu,Tamil_District,9386,2514,2346,4223,2064,750,2023,1,0,0,2023-01
2023-01-02,Delhi,Delhi_District,5127,1500,1281,2307,1127,410,2023,1,0,0,2023-01
2023-01-02,West Bengal,West_District,6898,1975,1724,3104,1517,551,2023,1,0,0,2023-01
2023-01-03,Maharashtra,Maharashtra_District,10068,2127,2517,4530,2214,805,2023,1,1,0,2023-01
2023-01-03,Uttar Pradesh,Uttar_District,16071,3694,4017,7231,3535,1285,2023,1,1,0,2023-01
2023-01-03,Karnataka,Karnataka_District,8071,1586,2017,3631,1775,645,2023,1,1,0,2023-01
2023-01-03,Tamil Nadu,Tamil_District,9012,2582,2253,4055,1982,720,2023,1,1,0,2023-01
2023-01-03,Delhi,Delhi_District,4967,1172,1241,2235,1092,397,2023,1,1,0,2023-01
2023-01-03,West Bengal,West_District,6401,1534,1600,2880,1408,512,2023,1,1,0,2023-01
2023-01-04,Maharashtra,Maharashtra_District,10448,2791,2612,4701,2298,835,2023,1,2,0,2023-01
2023-01-04,Uttar Pradesh,Uttar_District,15586,3511,3896,7013,3428,1246,2023,1,2,0,2023-01
2023-01-04,Karnataka,Karnataka_District,8105,1578,2026,3647,1783,648,2023,1,2,0,2023-01
2023-01-04,Tamil Nadu,Tamil_District,9089,2338,2272,4090,1999,727,2023,1,2,0,2023-01
2023-01-04,Delhi,Delhi_District,5043,601,1260,2269,1109,403,2023,1,2,0,2023-01
2023-01-04,West Bengal,West_District,6652,1964,1663,2993,1463,532,2023,1,2,0,2023-01
2023-01-05,Maharashtra,Maharashtra_District,10602,2009,2650,4770,2332,848,2023,1,3,0,2023-01
2023-01-05,Uttar Pradesh,Uttar_District,15357,2577,3839,6910,3378,1228,2023,1,3,0,2023-01
2023-01-05,Karnataka,Karnataka_District,8198,2027,2049,3689,1803,655,2023,1,3,0,2023-01
2023-01-05,Tamil Nadu,Tamil_District,8802,1933,2200,3960,1936,704,2023,1,3,0,2023-01
2023-01-05,Delhi,Delhi_District,5610,1284,1402,2524,1234,448,2023,1,3,0,2023-01
2023-01-05,West Bengal,West_District,6199,892,1549,2789,1363,495,2023,1,3,0,2023-01
2023-01-06,Maharashtra,Maharashtra_District,10697,2472,2674,4813,2353,855,2023,1,4,0,2023-01
2023-01-06,Uttar Pradesh,Uttar_District,16023,4420,4005,7210,3525,1281,2023,1,4,0,2023-01
2023-01-06,Karnataka,Karnataka_District,7530,1190,1882,3388,1656,602,2023,1,4,0,2023-01
2023-01-06,Tamil Nadu,Tamil_District,8706,998,2176,3917,1915,696,2023,1,4,0,2023-01
2023-01-06,Delhi,Delhi_District,4847,905,1211,2181,1066,387,2023,1,4,0,2023-01
2023-01-06,West Bengal,West_District,6978,734,1744,3140,1535,558,2023,1,4,0,2023-01
2023-01-07,Maharashtra,Maharashtra_District,6626,1669,1656,2981,1457,530,2023,1,5,1,2023-01
2023-01-07,Uttar Pradesh,Uttar_District,9565,2547,2391,4304,2104,765,2023,1,5,1,2023-01
2023-01-07,Karnataka,Karnataka_District,4531,828,1132,2038,996,362,2023,1,5,1,2023-01
2023-01-07,Tamil Nadu,Tamil_District,5759,1713,1439,2591,1266,460,2023,1,5,1,2023-01
2023-01-07,Delhi,Delhi_District,3058,518,764,1376,672,244,2023,1,5,1,2023-01
2023-01-07,West Bengal,West_District,3918,879,979,1763,861,313,2023,1,5,1,2023-01
2023-01-08,Maharashtra,Maharashtra_District,6322,893,1580,2844,1390,505,2023,1,6,1,2023-01
2023-01-08,Uttar Pradesh,Uttar_District,9027,1788,2256,4062,1985,722,2023,1,6,1,2023-01
2023-01-08,Karnataka,Karnataka_District,4447,745,1111,2001,978,355,2023,1,6,1,2023-01
2023-01-08,Tamil Nadu,Tamil_District,5204,919,1301,2341,1144,416,2023,1,6,1,2023-01
2023-01-08,Delhi,Delhi_District,3472,449,868,1562,763,277,2023,1,6,1,2023-01
2023-01-08,West Bengal,West_District,4009,1147,1002,1804,881,320,2023,1,6,1,2023-01
2023-01-09,Maharashtra,Maharashtra_District,10220,2211,2555,4599,2248,817,2023,1,0,0,2023-01
2023-01-09,Uttar Pradesh,Uttar_District,16036,3696,4009,7216,3527,1282,2023,1,0,0,2023-01
2023-01-09,Karnataka,Karnataka_District,8208,1434,2052,3693,1805,656,2023,1,0,0,2023-01
2023-01-09,Tamil Nadu,Tamil_District,8739,2147,2184,3932,1922,699,2023,1,0,0,2023-01
2023-01-09,Delhi,Delhi_District,4864,1013,1216,2188,1070,389,2023,1,0,0,2023-01
2023-01-09,West Bengal,West_District,6582,1819,1645,2961,1448,526,2023,1,0,0,2023-01
2023-01-10,Maharashtra,Maharashtra_District,10327,2952,2581,4647,2271,826,2023,1,1,0,2023-01
2023-01-10,Uttar Pradesh,Uttar_District,15555,4243,3888,6999,3422,1244,2023,1,1,0,2023-01
2023-01-10,Karnataka,Karnataka_District,8128,1268,2032,3657,1788,650,2023,1,1,0,2023-01
2023-01-10,Tamil Nadu,Tamil_District,8654,1309,2163,3894,1903,692,2023,1,1,0,2023-01
2023-01-10,Delhi,Delhi_District,5187,1187,1296,2334,1141,414,2023,1,1,0,2023-01
2023-01-10,West Bengal,West_District,6432,904,1608,2894,1415,514,2023,1,1,0,2023-01
2023-01-11,Maharashtra,Maharashtra_District,10474,2610,2618,4713,2304,837,2023,1,2,0,2023-01
2023-01-11,Uttar Pradesh,Uttar_District,15885,2002,3971,7148,3494,1270,2023,1,2,0,2023-01
2023-01-11,Karnataka,Karnataka_District,7368,782,1842,3315,1620,589,2023,1,2,0,2023-01
2023-01-11,Tamil Nadu,Tamil_District,8910,1245,2227,4009,1960,712,2023,1,2,0,2023-01
2023-01-11,Delhi,Delhi_District,4867,1217,1216,2190,1070,389,2023,1,2,0,2023-01
2023-01-11,West Bengal,West_District,6308,1305,1577,2838,1387,504,2023,1,2,0,2023-01
2023-01-12,Maharashtra,Maharashtra_District,10098,2727,2524,4544,2221,807,2023,1,3,0,2023-01
2023-01-12,Uttar Pradesh,Uttar_District,15456,3608,3864,6955,3400,1236,2023,1,3,0,2023-01
2023-01-12,Karnataka,Karnataka_District,7457,1823,1864,3355,1640,596,2023,1,3,0,2023-01
